frame_number,landmark,x,y,z
7,RIGHT_THUMB,0.2833,0.5743,-0.1811
7,LEFT_HIP,0.4013,0.5762,-0.0087
7,RIGHT_HIP,0.3327,0.5726,0.0086
7,LEFT_KNEE,0.3953,0.7458,0.0149
7,RIGHT_KNEE,0.3324,0.7435,0.0259
7,LEFT_ANKLE,0.391,0.8923,0.2282
7,RIGHT_ANKLE,0.331,0.8917,0.2295
7,LEFT_HEEL,0.3851,0.9076,0.2379
7,RIGHT_HEEL,0.3382,0.9102,0.2401
7,LEFT_FOOT_INDEX,0.3913,0.9549,0.081
7,RIGHT_FOOT_INDEX,0.3133,0.9557,0.0858
8,NOSE,0.3604,0.2519,-0.3812
8,LEFT_EYE_INNER,0.3693,0.2396,-0.3639
8,LEFT_EYE,0.3741,0.2401,-0.3639
8,LEFT_EYE_OUTER,0.3788,0.2404,-0.3638
8,RIGHT_EYE_INNER,0.3574,0.2391,-0.3623
8,RIGHT_EYE,0.3544,0.2392,-0.3623
8,RIGHT_EYE_OUTER,0.3513,0.2393,-0.3624
8,LEFT_EAR,0.3869,0.2471,-0.2351
8,RIGHT_EAR,0.3517,0.2443,-0.2282
8,MOUTH_LEFT,0.3689,0.2691,-0.3304
8,MOUTH_RIGHT,0.3539,0.2678,-0.3289
8,LEFT_SHOULDER,0.4272,0.3478,-0.1451
8,RIGHT_SHOULDER,0.3148,0.3384,-0.118
8,LEFT_ELBOW,0.4475,0.4702,-0.0849
8,RIGHT_ELBOW,0.2934,0.4535,-0.0531
8,LEFT_WRIST,0.451,0.5767,-0.1956
8,RIGHT_WRIST,0.2787,0.5487,-0.1566
8,LEFT_PINKY,0.4512,0.6045,-0.229
8,RIGHT_PINKY,0.2728,0.5811,-0.1883
8,LEFT_INDEX,0.4409,0.6021,-0.2705
8,RIGHT_INDEX,0.2791,0.5796,-0.2302
8,LEFT_THUMB,0.4386,0.5922,-0.2132
8,RIGHT_THUMB,0.2839,0.5694,-0.1758
8,LEFT_HIP,0.4008,0.576,-0.0072
8,RIGHT_HIP,0.3327,0.5726,0.0071
8,LEFT_KNEE,0.3951,0.7458,0.0137
8,RIGHT_KNEE,0.3323,0.7435,0.0201
8,LEFT_ANKLE,0.3909,0.8923,0.2219
8,RIGHT_ANKLE,0.331,0.8917,0.2197
8,LEFT_HEEL,0.3851,0.9076,0.2315
8,RIGHT_HEEL,0.3382,0.9102,0.2298
8,LEFT_FOOT_INDEX,0.3915,0.9549,0.0744
8,RIGHT_FOOT_INDEX,0.3135,0.9559,0.0749
9,NOSE,0.3607,0.2523,-0.3821
9,LEFT_EYE_INNER,0.3694,0.2399,-0.366
9,LEFT_EYE,0.3742,0.2403,-0.366
9,LEFT_EYE_OUTER,0.3789,0.2406,-0.3659
9,RIGHT_EYE_INNER,0.3574,0.2395,-0.3624
9,RIGHT_EYE,0.3543,0.2396,-0.3624
9,RIGHT_EYE_OUTER,0.3511,0.2397,-0.3625
9,LEFT_EAR,0.3868,0.2471,-0.24
9,RIGHT_EAR,0.3508,0.2446,-0.2296
